City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Tura,IN,25.5198,90.2201,76.35,87,41,6.33,scattered clouds
288,Derzhavinsk,KZ,51.1,66.3167,35.06,58,9,8.19,clear sky
289,Mehamn,NO,71.0357,27.8492,33.13,81,100,4.97,overcast clouds
290,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.52,96,100,1.88,overcast clouds
291,Roma,US,43.2128,-75.4557,61.68,83,91,11.12,overcast clouds
292,Miraflores,MX,19.2167,-98.8083,68.76,49,66,5.84,moderate rain
293,Porto Novo,BJ,6.4965,2.6036,79.9,80,100,5.68,overcast clouds
294,Durban,ZA,-29.8579,31.0292,67.01,86,100,1.01,overcast clouds
295,Pinawa,CA,50.1489,-95.8811,27.37,95,100,15.43,light snow
296,Sitka,US,57.0531,-135.33,46.29,76,100,0.0,light rain
297,Klaksvik,FO,62.2266,-6.589,38.32,83,100,16.35,overcast clouds
298,Nisia Floresta,BR,-6.0911,-35.2086,77.81,92,17,6.06,light rain
299,Mahebourg,MU,-20.4081,57.7,75.25,72,13,16.62,few clouds
300,Stornoway,GB,58.2093,-6.3865,46.92,82,100,10.36,overcast clouds
301,Airai,TL,-8.9266,125.4092,72.66,39,99,2.71,overcast clouds
302,Songjianghe,CN,42.1859,127.479,65.26,46,9,9.35,clear sky
303,Westport,US,41.1415,-73.3579,49.59,72,11,3.0,few clouds
304,Arman,RU,59.7,150.1667,33.33,62,62,9.1,broken clouds
305,Xuchang,CN,34.0167,113.8167,63.32,87,100,12.39,overcast clouds
306,Padampur,IN,29.6833,73.6167,80.82,19,60,6.42,broken clouds
307,Coria,ES,39.9879,-6.5377,49.44,84,12,2.24,few clouds
308,Talnakh,RU,69.4865,88.3972,-3.8,97,90,5.1,overcast clouds
309,Vaitape,PF,-16.5167,-151.75,81.45,71,28,7.31,scattered clouds
310,Silifke,TR,36.3778,33.9344,69.44,44,0,1.01,clear sky
311,Touros,BR,-5.1989,-35.4608,76.1,91,100,8.52,overcast clouds
312,Biltine,TD,14.5333,20.9167,84.69,12,98,2.8,overcast clouds
