City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Rosario,AR,72.95,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
499,Kutum,SD,74.93,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
500,Rafsanjan,IR,69.58,overcast clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
501,Hualmay,PE,67.41,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
505,Mitsamiouli,KM,80.44,light rain,-11.3847,43.2844,Foyer ADM
510,Puerto Narino,CO,76.05,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
512,San Juan Bautista,PE,70.16,overcast clouds,-14.0108,-75.7358,Hotel Las Dunas
513,San Pedro De Macoris,DO,74.01,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
516,Quelimane,MZ,71.65,overcast clouds,-17.8786,36.8883,Hotel Flamingo
517,Beaumont,US,77.11,overcast clouds,30.0861,-94.1019,Super 8 by Wyndham Beaumont
518,Shangrao,CN,78.89,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
519,Lethem,GY,80.08,overcast clouds,3.3803,-59.7968,Savannah Inn
523,Takoradi,GH,76.33,overcast clouds,4.8845,-1.7554,Raybow International Hotel
524,Byron Bay,AU,71.94,overcast clouds,-28.65,153.6167,Backpackers Inn
525,Bafq,IR,73.27,scattered clouds,31.6128,55.4107,Alamdar Hotel
530,Koungou,YT,78.51,light rain,-12.7336,45.2042,Villa Netibor
531,Rondonopolis,BR,76.5,clear sky,-16.4708,-54.6356,Serras Hotel
532,Tezu,IN,70.32,overcast clouds,27.9167,96.1667,Circuit House
542,Hasaki,JP,73.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
544,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
545,Meulaboh,ID,79.43,overcast clouds,4.1363,96.1285,Kost Pria
546,Brusque,BR,73.17,overcast clouds,-27.0981,-48.9175,Monthez Hotel e Eventos
549,Jalu,LY,69.42,clear sky,29.0331,21.5482,صاحبة الفخامة
550,Mattru,SL,74.73,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
557,Santa Isabel Do Rio Negro,BR,75.06,overcast clouds,-0.4139,-65.0192,Hotel GSA
560,Nizwa,OM,76.23,clear sky,22.9333,57.5333,Orient Apartments
563,Aguada De Pasajeros,CU,75.33,moderate rain,22.385,-80.8508,El Bosque
564,Cururupu,BR,73.26,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
565,Kalmunai,LK,79.9,broken clouds,7.4167,81.8167,VS Villa
567,Guerrero Negro,MX,69.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
570,Awjilah,LY,68.43,clear sky,29.1081,21.2869,المنزل
571,Trairi,BR,75.97,overcast clouds,-3.2778,-39.2689,janelas do mar
574,Shitanjing,CN,69.75,broken clouds,39.2342,106.3439,Yingbin Hotel
578,Wamba,NG,75.27,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
586,Berekum,GH,71.73,overcast clouds,7.4534,-2.584,Nyame Nnae Hotel
587,Marsh Harbour,BS,74.3,clear sky,26.5412,-77.0636,Abaco Beach Resort
588,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
589,Ballina,AU,73.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
590,Kontagora,NG,80.17,broken clouds,10.3999,5.4695,Queens Guest Inn
593,Majene,ID,80.22,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
595,El Carmen,CO,67.98,scattered clouds,8.5106,-73.4478,Hotel La Casona
601,Uchana,IN,80.71,clear sky,29.4667,76.1667,Goods Godown Uchana Railway
602,Russell,US,73.0,clear sky,32.3502,-85.1999,Macs
605,Morehead,US,73.15,scattered clouds,37.2711,-87.1764,CCI Express Inn
607,Nago,JP,81.45,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
609,Tripoli,LY,65.98,overcast clouds,32.8752,13.1875,Al Waddan Hotel
611,Ilhabela,BR,73.15,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
612,Hervey Bay,AU,75.29,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
613,Phalaborwa,ZA,69.73,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
614,Fougamou,GA,73.51,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
615,The Valley,AI,77.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
619,Necochea,AR,68.11,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
621,San Juan,AR,78.12,clear sky,-31.5375,-68.5364,Hotel Provincial
623,Yanam,IN,81.1,clear sky,16.7333,82.2167,The Regency Hotel
625,Morondava,MG,75.63,overcast clouds,-20.2833,44.2833,La Case Bambou
626,Bam,IR,76.78,clear sky,29.106,58.357,Bam Tourist Hotel
630,Mineiros,BR,73.72,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
635,Pontalina,BR,70.75,clear sky,-17.525,-49.4472,Hotel Entre Rios
641,Maldonado,UY,72.23,clear sky,-34.6667,-54.9167,La Cimarrona
644,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
645,Mocajuba,BR,73.92,heavy intensity rain,-2.5842,-49.5072,Hotel Saylon Mocajuba
648,Impfondo,CG,71.4,light rain,1.6381,18.0667,Auberge La Place de Jules
649,Domoni,KM,79.07,light rain,-12.2569,44.5319,Al Djadid
655,Sal Rei,CV,71.47,clear sky,16.1833,-22.9167,Marine Club Beach Resort
660,Karaton,ID,81.09,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
663,Imphal,IN,73.02,clear sky,24.8167,93.95,State Guest House
666,Nageshwari,BD,77.4,clear sky,25.9377,89.7148,Harun Villa
667,Inverell,AU,71.67,broken clouds,-29.7833,151.1167,Sapphire City Motor Inn
668,Mulki,IN,81.68,broken clouds,13.1,74.8,Karnire Camping Ground
670,Farafangana,MG,72.54,light rain,-22.8167,47.8333,Miarina
